Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
7879,Getz,1.4 DOHC 1.4 AB AC,AUTOBANK - 2008 HYUNDAI GETZ 1.4 DOCH AB AC DE???ENS?Z,2008,182.5,Gri,"20 Ocak
                        2020",BursaNil�fer,43.500 TL
7880,i20,1.4 MPI Style,Tertemiz ?20 style,2017,21.2,Beyaz,"21 Ocak
                        2020",Diyarbak?rBa?lar,110.500 TL
7881,i20,1.4 CRDi Jump,Tertemiz i20,2015,85,Gri,"21 Ocak
                        2020",AntalyaManavgat,84.000 TL
7882,i20,1.4 MPI Style,HATASIZ-CAMTAVA�N-MULT?MEDYA-EN DOLUSU-A�IKLAMAYI OKUYUNUZ,2018,15,K?rm?z?,"21 Ocak
                        2020",SakaryaSerdivan,115.950 TL
7883,i20,1.2 D-CVVT Jump,temiz sorunsuz memurdan i20,2012,51.85,Mavi,"20 Ocak
                        2020",KayseriKocasinan,63.900 TL
7884,Linea,1.3 Multijet Pop,acil sat?l?k,2016,145.3,Beyaz,"21 Ocak
                        2020",AntalyaKepez,56.500 TL
7885,323,1.8 Familia,Ev ald???m i�in Arabam? sat?yorum,1997,316,Ye?il,"22 Ocak
                        2020",AfyonkarahisarDazk?r?,21.000 TL
7886,A6,A6 Sedan 2.0 TDI,KAYA MOTORS' AUD? A6 %30 PE??N KALANI 12/24/36/48 AY TAKS?TLE,2013,186.6,Siyah,"01 Ocak
                        2020",?stanbulBa?c?lar,188.000 TL
7887,Corsa,1.4 GLS,SAH?B?NDEN FULL ORJINAL KL?MALI 1998 MODEL 1.4 16 VALF GLS AC?L,1998,250,Mavi,"22 Ocak
                        2020",SakaryaErenler,26.750 TL
7888,A4,A4 Sedan 1.4 TFSI Dynamic,ABAZLAR PLAZA 54B?NKM AUD? SUNROF DER? ISITMA 2017 �IKI?,2016,54,Beyaz,"15 Ocak
                        2020",KonyaKaratay,233.500 TL
7889,C-Elys�e,1.6 HDi  Exclusive,2016 MODEL HATAS?Z BOYAS?Z TRAMERS?Z SADECE 90 B?N KM DE,2016,90,Beyaz,"21 Ocak
                        2020",AnkaraPursaklar,72.750 TL
7890,Focus,1.6 TDCi Trend X,EKA MOTOR'S FORD FOCUS %50 PE??N GER? KALANINA VADE ?MKANI,2016,146,Gri,"22 Ocak
                        2020",?stanbulBa?c?lar,97.000 TL
7891,5 Serisi,520d Premium,520D PREM?UM 210000 KM DE???ENS?Z BORUSAN �IKI?,2011,210,Beyaz,"20 Ocak
                        2020",AntalyaSerik,158.000 TL
7892,626,1.6,japon gulu,1990,287,Bej,"17 Ocak
                        2020",KayseriMelikgazi,14.500 TL
7893,i20,1.4 CRDi Jump,ORJINAL ASKERDEN ?20,2014,65,Beyaz,"21 Ocak
                        2020",Ayd?nKu?adas?,70.500 TL
7894,Accent,1.5 GLS,"2000 MODEL 1,5 GLS KL?MALI AT?KER SIRALI S?STEM LPG SIFIR V?ZEL?",2000,230,Beyaz,"22 Ocak
                        2020",AnkaraEtimesgut,28.250 TL
7895,3,1.6 Impressive,TEM?Z MAZDA 3,2012,145,Kahverengi,"02 Ocak
                        2020",BoluMerkez,70.000 TL
7896,C-Elys�e,1.2 VTi Attraction,�LK� MOTORS DAN 1.2VT? ELYESSE,2015,84,Beyaz,"22 Ocak
                        2020",Gaziantep?ehitkamil,45.750 TL
7897,C Serisi,C 180 BlueEfficiency Selection Plus,2012 MODEL C 180 MERCEDES AMG EN DOLUSU,2012,230,Beyaz,"17 Ocak
                        2020",KocaeliBa?iskele,118.750 TL
7898,Accent,1.5 GLS,bakmadan ge�me,1999,160,G�m�? Gri,"21 Ocak
                        2020",KaramanMerkez,26.000 TL
7899,Corsa,1.2 Twinport Essentia,sahibinden sat?l?k,2009,140,Lacivert,"21 Ocak
                        2020",K?rklareliMerkez,61.000 TL
7900,Getz,1.5 CRDi VGT,2005 MODEL GETZ,2005,191,Beyaz,"20 Ocak
                        2020",D�zceMerkez,35.900 TL
7901,Fiesta,1.6 Comfort,AC?LEN SAH?BINDEN SATILIK SIFIR AYARINDA,2006,162,Mavi,"22 Ocak
                        2020",?stanbulMaltepe,45.900 TL
7902,Accent Era,1.5 CRDi-VGT Team,Muayenesi Bak?m? Yeni yap?lm?? Temiz Hyundai,2009,154.415,Lacivert,"22 Ocak
                        2020",?stanbulGaziosmanpa?a,54.750 TL
7903,Note,1.5 dCi Tekna,N?SSAN NOTE TEKNA 1.5 DCI,2014,177,Beyaz,"20 Ocak
                        2020",OrduAlt?nordu,65.750 TL
7904,A4,A4 Sedan 2.0 TDI Quattro Design,"D?KKAT!!! NOKTA HATASIZ,KAZASIZ,D�E???ENS?Z,SERV?S BAKIMLI...",2016,169,Siyah,"21 Ocak
                        2020",Gaziantep?slahiye,249.500 TL
7905,Vectra,1.6 Comfort,2004 MODEL 1.6 COMFORT C KASA HATASIZ DE???ENS?Z,2004,217,Gri,"21 Ocak
                        2020",AnkaraSincan,40.900 TL
7906,A3,A3 Sedan 1.6 TDI,?lk sahibinden hatas?z boyas?z,2016,53.6,Beyaz,"22 Ocak
                        2020",Elaz??Merkez,190.000 TL
7907,3 Serisi,320i ED Sport Line,"ilk sahibinden kazasiz ,degisensiz,boyasiz.",2016,67,F�me,"21 Ocak
                        2020",?zmirKar??yaka,235.000 TL
7908,Cerato,1.6 CRDi Comfort,**/HATASIZ 2016 K?A CERATO CONCEPT 58.000 KM DE D?ZEL OTOMAT?K*/,2016,58,Bordo,"19 Ocak
                        2020",Bursa?neg�l,118.750 TL
7909,C Serisi,C 180 Komp. BlueEfficiency Avantgarde,Bayram bey e hay?rl? olsun,2011,140.48,Gri,"26 Aral?k
                        2019",Ayd?nEfeler,127.500 TL
7910,Albea,1.3 Multijet Active,F?AT ALBEA 1.3 MULT?JET,2004,280,G�m�? Gri,"21 Ocak
                        2020",Gaziantep?ehitkamil,22.500 TL
7911,Stilo,1.6 Actual,"Kazas?z, Boyas?z, Hasar Kay?ts?z,Orjinal km, Bak?ml?",2004,195,Mavi,"21 Ocak
                        2020",AnkaraSincan,32.500 TL
7912,Albea,Sole 1.4 Fire Dynamic,2010 MODEL SOLE DYNAMIC KL?MALI !!TAKS? DE??L!! TAKAS OLUR,2010,290,G�m�? Gri,"21 Ocak
                        2020",?zmirGaziemir,27.500 TL
7913,C3,1.6 HDi SX,bak?ml? masrafsiz yak?t? az yakan kullan?m? kolay bir ara�,2006,205,F�me,"22 Ocak
                        2020",K?rklareliMerkez,35.000 TL
7914,Civic,1.6 i ES,SAH?B?NDEN+OTA�MATIK+lpg+TAM G�VENL?K PAKET,2001,230,G�m�? Gri,"20 Ocak
                        2020",Ankara�ubuk,43.750 TL
7915,Civic,1.6i VTEC Eco Executive,4 ayl?k civic acil sat?l?k,2019,5.522,F�me,"22 Ocak
                        2020",TrabzonOrtahisar,176.000 TL
7916,A5,A5 Sportback 2.0 TDI,HATASIZ BOYASIZ TRAMERS?Z A5 full,2012,185,Gri,"19 Ocak
                        2020",AntalyaKepez,217.000 TL
7917,E Serisi,E 180 Exclusive,2018 TRAF??E �IKI?LI 44 B?N KM ORJ?NAL EXCLUS?VE GARANT?L?,2017,44.8,Siyah,"21 Ocak
                        2020",?zmirKonak,390.000 TL
7918,Micra,1.2 Street,Otomatik 2017 Micra kazas?z boyas?z sadece �izik,2017,43.6,Mavi,"12 Ocak
                        2020",Kahramanmara?Oniki?ubat,88.750 TL
7919,Civic,1.6i VTEC Premium,40 binde Eco premium civic,2016,40,F�me,"19 Ocak
                        2020",ZonguldakEre?li,137.000 TL
7920,E Serisi,E 220 d AMG,E 220d AMG 9G-TRON?C designo renk S�MB�L KIRMIZI 20?N� JANT BAY?,2016,59,K?rm?z?,"15 Ocak
                        2020",?stanbulBa?c?lar,499.000 TL
7921,5 Serisi,520i Standart,TEM?Z 5.20? OTOMAT?K,1990,323.258,Beyaz,"21 Ocak
                        2020",BursaOsmangazi,30.000 TL
7922,Mondeo,1.6 Titanium,2008 FORD MONDEO.SANROOF .16.T?TAN?UM.,2008,191,F�me,"21 Ocak
                        2020",KayseriMelikgazi,60.000 TL
7923,C4,1.6 VTR,AC?L 2006 CITROEN C4 VTR 195.000 KM KL?MA ABS DER? KOLTUK,2006,195,Siyah,"21 Ocak
                        2020",?zmirBuca,24.500 TL
7924,Micra,1.5 dCi Passion,2007 M?CRA 1.5DC? PASS?ON HATASIZ,2007,250.6,Siyah,"16 Ocak
                        2020",Ayd?nKuyucak,38.000 TL
7925,A3,A3 Sportback 1.0 TFSI,2019 Model Audi A3 Sportback 30 TFS? Design-Prestige Paket,2019,3.25,K?rm?z?,"21 Ocak
                        2020",K?rklareliMerkez,233.000 TL
7926,Linea,1.3 Multijet Pop,2014 F?AT L?NEA 1.3 MULT?JET POP MUAYENE YEN? �OK TEM?Z,2014,189,Beyaz,"21 Ocak
                        2020",KocaeliGebze,47.500 TL
7927,Egea,1.3 Multijet Easy,F?AT 2017 EGEA EASY 1.3MJ 90HP D?ZEL D�Z V?TES 41.564 KM,2017,41.564,Beyaz,"22 Ocak
                        2020",?stanbulSancaktepe,86.500 TL
7928,Civic,1.4 1.4i,1998 HONDA C?V?C 1.4 ?S OTOMAT?K BENZ?N&LPG BAKIMLI TEM?Z,1998,294,Mavi,"21 Ocak
                        2020",Rize�ayeli,32.500 TL
7929,E Serisi,E 200 Komp. Avantgarde,Sahibinden emsalsiz,2007,164.3,Mavi,"21 Ocak
                        2020",?zmirTire,149.500 TL
7930,Egea,1.3 Multijet Easy,SAAH?B?NDEN KAZASIZ DE???ENS?Z BAKIMLI,2017,112,Beyaz,"21 Ocak
                        2020",Samsun?lkad?m,77.250 TL
7931,Punto,1.4 Popstar S&S,2016 PUNTO 1.4 POP STAR S&S,2016,48.5,Beyaz,"21 Ocak
                        2020",SakaryaAdapazar?,68.950 TL
7932,Jazz,1.4 Elite,OTOMAT?K V?TES HONDA JAZZ 1.4 EL?TE,2006,203,G�m�? Gri,"20 Ocak
                        2020",AntalyaKepez,54.900 TL
7933,Civic,1.6i VTEC Elegance,Dost i?i temiz Honda,2012,126,Beyaz,"22 Ocak
                        2020",MalatyaBattalgazi,107.000 TL
7934,C Serisi,C 200 AMG,MLH-4 MAT?C-BOYASIZ-S�MB�L KIRMIZI-AMG-5.000 KM,2018,5,K?rm?z?,"20 Ocak
                        2020",D�zceAk�akoca,399.999 TL
7935,Focus,1.6 TDCi Style,SAH?B?NDENNNNN FOCUS 1.6 TDC? STYLE,2013,164.654,G�m�? Gri,"18 Ocak
                        2020",DenizliMerkezefendi,72.900 TL
7936,Civic,1.4 i S,sahibinden,2000,211,?ampanya,"20 Ocak
                        2020",AnkaraEtimesgut,37.000 TL
7937,Vectra,1.6 Comfort,2004 OPEL VECTRA 1.6 COMFORT,2004,217.5,Beyaz,"21 Ocak
                        2020",?anl?urfaHaliliye,43.500 TL
7938,Accent Blue,1.6 CRDI Mode Plus,2015 HYUNDAI ACCENT BLUE D?ZEL OTOMATK KAZASIZ BOYASIZ GARANT?L?,2015,85,Beyaz,"21 Ocak
                        2020",Ordu�nye,96.000 TL
7939,3 Serisi,316i Standart,TOYOTA PLAZA OTOJEN'DEN BMW 3.16? I?IK PAKET V?ZE YEN?,2006,224,Siyah,"21 Ocak
                        2020",KonyaSel�uklu,67.900 TL
7940,Ceed,1.6 CRDi Premium,Garantili ceed ful+ful Hatas?z(GARANT?L?),2017,88.25,F�me,"20 Ocak
                        2020",ErzurumYakutiye,152.000 TL
7941,A4,A4 Sedan 2.0,DEM?R'DEN AUD? A4 B6 2.0 OTOMAT?K EMSALS?Z G�ZELL?KTE...,2002,307.2,Mavi,"21 Ocak
                        2020",AnkaraKe�i�ren,53.500 TL
7942,323,1.6 GLX,TEM?Z MAZDA 323,1992,263,K?rm?z?,"04 Ocak
                        2020",K�tahyaTav?anl?,16.000 TL
7943,Accent,1.3 LX Allegro,AKADEM?SYENDEN TEM?Z ORJ?NAL DE???ENS?Z 2001 Hyundai Accent 1.3,2001,240,Sar?,"22 Ocak
                        2020",SinopMerkez,22.000 TL
7944,C Serisi,C 220 CDI Avantgarde,SAHIBINDEN masrafs?z 3 parca lokal boyali harici hatasiz,2004,415,Ye?il,"22 Ocak
                        2020",KonyaKaratay,82.500 TL
7945,Linea,1.3 Multijet Urban,Masrafs?z Temiz. Keyfi Sat?l?k,2012,172,Gri,"21 Ocak
                        2020",?anl?urfaHaliliye,42.000 TL
7946,Micra,1.2 Tekna,N?SSAN M?CRA TEKNA,2011,105,Beyaz,"15 Ocak
                        2020",?stanbulBa?c?lar,58.000 TL
7947,Rio,1.4 CRDi Concept,Sahibinden 2017 model Kia Rio 1.4 CRD?,2017,72,Mavi,"16 Ocak
                        2020",Eski?ehirOdunpazar?,89.250 TL
7948,3 Serisi,318d Prestige,D�?�K KM ?ST?YENLERE,2017,44,Beyaz,"22 Ocak
                        2020",MardinArtuklu,282.500 TL
7949,Focus,1.6 TDCi Trend,Ford focus trend 110 hp,2009,242,Beyaz,"22 Ocak
                        2020",?stanbulEy�psultan,45.000 TL
7950,323,1.6 GLX,TEM?Z MAZDA,1996,369,Beyaz,"19 Ocak
                        2020",AntalyaSerik,22.000 TL
7951,E Serisi,E 320 Elegance,ORIJINAL TAM DOLU E320 LPG LI,2000,415,F�me,"21 Ocak
                        2020",MalatyaYe?ilyurt,67.500 TL
7952,Civic,1.6i VTEC Eco Elegance,hatas?z 2. sahibinden 66 binde g�z bebeyi,2013,66,Beyaz,"21 Ocak
                        2020",?zmirBornova,122.000 TL
7953,3,1.6 D Touring,SAH?B?NDEN TEM?Z MAZDA3,2011,194,Beyaz,"09 Ocak
                        2020",GiresunYa?l?dere,70.000 TL
7954,Accent Era,1.4 Select,AC?LL SAH?B?NDEN 2007 ERA 1.4 (TAKS? �IKMASI DE??LD?R),2007,202,Siyah,"21 Ocak
                        2020",?stanbulEsenler,30.750 TL
7955,5 Serisi,525d xDrive  Executive,2016 �IKI?LI BMW 5.25 XDR?VE SUNROOF HAYALET GER? G�R�? NAV?GSYN,2015,120,Siyah,"22 Ocak
                        2020",?stanbulB�y�k�ekmece,329.900 TL
7956,Micra,1.2 Tekna,SAH?B?NDEN OTOMAT?K 72.000 KM 2005 NISSAN MICRA TEKNA FULL+FULL,2005,72,Lacivert,"18 Ocak
                        2020",Ankara�ankaya,61.500 TL
7957,Focus,1.6 Ti-VCT Style,PEKMEZC?O?LU' ndan Ford Focus 1.6 Ti-VCT Style Powershift Oto.,2017,11.7,Siyah,"21 Ocak
                        2020",Kahramanmara?Oniki?ubat,129.000 TL
7958,Civic,1.6i DTEC Executive,SAHIBINDEN 2019 HONDA CIVIC EXECUTIVE 17.300KM,2019,17.3,Beyaz,"21 Ocak
                        2020",Adana�ukurova,188.500 TL
7959,Astra,1.4 T Sport,Temiz Opel Astra,2012,127,Siyah,"21 Ocak
                        2020",Diyarbak?rBa?lar,72.750 TL
7960,C Serisi,C 180 Komp. BlueEfficiency AMG,HASAN BED?R 2.EL PLAZA'DAN 2012 MERCEDES C180 KOMP. AMG LPG'L?,2012,160,Beyaz,"21 Ocak
                        2020",KayseriMelikgazi,139.850 TL
7961,Elantra,1.6 GLS,orijinal ELENTRA. LPG li. AC?L,2000,138,Mavi,"22 Ocak
                        2020",?stanbulAta?ehir,29.500 TL
7962,A4,A4 Sedan 1.6,Muayyer ara� TEM?Z VE KONFORLU ARA� ARAYANLARA,2008,223,Siyah,"21 Ocak
                        2020",�orumMerkez,82.000 TL
7963,Civic,2.0 Type-R,BD Motorsdan HATASIZ Boyas?z,2015,39,K?rm?z?,"30 Aral?k
                        2019",?stanbulBeykoz,240.000 TL
7964,Altima,2.0 Laurel,Temiz hastas?na �zel,1992,310,Siyah,"20 Ocak
                        2020",?zmirTorbal?,14.000 TL
7965,Linea,1.3 Multijet Pop,ATI?ALANI OTOMOT?V 2015 MODEL F?AT L?NEA 1.3 MULT?JET POP PAKET,2015,107,Beyaz,"22 Ocak
                        2020",?stanbulBa?c?lar,52.900 TL
7966,Astra,1.3 CDTI Essentia,2008 MODEL ORJ?NAL OPEL ASTRA,2008,185,Gri,"21 Ocak
                        2020",KonyaEre?li,47.500 TL
7967,Linea,1.3 Multijet Pop,KEF?LS?Z KO?ULSUZ HEMEN TESL?M 48 AY TAKS?T % 2.50 VADE ORANI,2015,97,Beyaz,"21 Ocak
                        2020",?stanbulBa?c?lar,58.500 TL
7968,Pride,1.3 DLX,Temiz Dosta gider,2000,160,Beyaz,"21 Ocak
                        2020",?stanbulK���k�ekmece,14.500 TL
7969,C5,1.6 HDi SX,Sahibinden orjinal C5,2009,219,G�m�? Gri,"22 Ocak
                        2020",DenizliMerkezefendi,57.500 TL
7970,Egea,1.3 Multijet Easy,2016 MODEL EGEA 1.3 MULT?JET EASY PAKET TEM?Z VE BAKIMLI,2016,125,Beyaz,"22 Ocak
                        2020",OsmaniyeMerkez,71.000 TL
7971,Cerato,1.6 CRDi Concept Plus,sahibinden hatas?z boyas?z,2017,78,Beyaz,"21 Ocak
                        2020",?stanbul�mraniye,129.500 TL
7972,Insignia,1.6 CDTI  Design,OPS?YONLANDI.,2016,73,Beyaz,"21 Ocak
                        2020",?stanbulEsenler,127.000 TL
7973,Egea,1.4 Fire Easy,HATASIZ BOYASIZ SIFIR G?B? 2018 MODEL,2018,33,Beyaz,"21 Ocak
                        2020",AntalyaManavgat,76.950 TL
7974,323,1.5 1.5i,�?RETMENDEN DE???ENS?Z TRAMERS?Z 1.5 16V TEM?Z JAPON,1999,250,Mavi,"10 Ocak
                        2020",?anl?urfaKarak�pr�,33.500 TL
7975,323,1.6 1.6i,SAH?B?NDEN TEM?Z 2003 MAKYAJLI KASA MAZDA 323,2003,260,Ye?il,"17 Ocak
                        2020",D�zceMerkez,44.999 TL
7976,Corsa,1.2 Comfort,DO?RU OTOMOT?V'DEN 2002 1.2 LPG'L? OPEL CORSA *OTOMAT?K V?TES*,2002,159,Ye?il,"16 Ocak
                        2020",KonyaKaratay,42.750 TL
7977,323,1.6 GLX,ARA� D�ZCEYE YEN? SAH?B?NE HAYIRLI OLSUN.,1992,234,Ye?il,"17 Ocak
                        2020",D�zceMerkez,20.900 TL
7978,Punto,1.3 Multijet Pop,Sahibinden Sigara ?�ilmemis Punto,2012,168,Mor,"22 Ocak
                        2020",?stanbulK���k�ekmece,47.000 TL
7979,Cerato,1.6 CRDi Concept,KISAS OTOMOT?V,2016,106,Beyaz,"21 Ocak
                        2020",?anl?urfaHaliliye,109.500 TL
7980,C Serisi,C 180 Style,KO� OTO ?STANBUL 2014 MERCEDES C180 STYLE 7G-TRON?C,2014,160,Beyaz,"21 Ocak
                        2020",?stanbulBa?c?lar,160.000 TL
7981,Astra,1.4 GL,C&M OTOMOT?V/TRAMERS?Z DE???ENS?Z KAZASIZ,1998,155,Beyaz,"29 Aral?k
                        2019",?stanbulBak?rk�y,24.750 TL
7982,C8,2.0 HDi SX,BORZ MOTOR'DAN C?TROEN C8 2.0 HDi HASAR KAYITSIZ+HIZ SAB?TLEME,2005,128,Gri,"22 Ocak
                        2020",?stanbulBah�elievler,46.900 TL
7983,Note,1.6 Tekna,N?SSAN NOTE,2006,160,Siyah,"20 Ocak
                        2020",?zmirBayrakl?,59.750 TL
7984,Civic,1.4 Sport,Sahibinden 2013 Model 105 Binde Benzinli Honda Civic Sport 1.4,2013,105,Beyaz,"21 Ocak
                        2020",Bal?kesirBand?rma,82.000 TL
7985,Getz,1.5 CRDi VGT,EL?T AUTO SATILIK GETZ 1.5 CRD? VGT 4 S?L?ND?R,2006,230,Mavi,"21 Ocak
                        2020",KonyaKaratay,29.500 TL
7986,Mondeo,2.0 Ghia,"2002 MODEL OTOMAT?K FORT MONDEO 2,0 CH?A ORJ?NALLLL",2002,301,G�m�? Gri,"21 Ocak
                        2020",�orumMerkez,34.750 TL
7987,Picanto,1.0 MPI,K?A BAY? �ZAYDIN - 0 KM - PICANTO LIVE - OTOMAT?K,2019,0,Beyaz,"19 Ocak
                        2020",?stanbulB�y�k�ekmece,102.900 TL
7988,Palio,1.2 EL Speedgear,TAM OTOMAT?K 2002 F?AT PAL?O 1.2 16V KL?MALI TEM?Z BAKIMLI...,2002,202,Bordo,"19 Ocak
                        2020",MersinToroslar,31.950 TL
7989,Rio,1.5 CRDi Trend,G�VEN ALTAN'DAN 2011 MODEL K?A R?O 1.5 CRD? TREND D�Z V?TES,2011,207.8,Siyah,"18 Ocak
                        2020",?stanbulMaltepe,45.900 TL
7990,i30,1.6 CRDi Elite,Temiz Aile Arabas? FUL + FUL,2013,69.5,Beyaz,"21 Ocak
                        2020",?stanbulBeykoz,115.000 TL
7991,323,1.8 Familia,Asil'den 1997 Model Mazda 323 Familia Sirali Sistem Klimali,1997,282,Ye?il,"20 Ocak
                        2020",D�zceMerkez,21.750 TL
7992,Linea,1.3 Multijet Easy,Sahibinden Temiz Bak?ml? Kusursuz Linea 2013,2013,212.5,Beyaz,"21 Ocak
                        2020",AnkaraKahramankazan,47.500 TL
7993,A4,A4 Sedan 2.0 TDI,FIRSAT ARACIDIR! 177 BEYG?R EKSTRA DONANIMLI D?ZEL AUD? A4...,2014,107,Siyah,"22 Ocak
                        2020",?stanbulBa?c?lar,172.500 TL
7994,E Serisi,E 180 AMG,2O14 HATASIZ AMG-?�? BEJ-19 PREMIUM JANT-CamTAVAN-4 LAST?K YENi,2014,120,Beyaz,"22 Ocak
                        2020",AntalyaMuratpa?a,256.000 TL
7995,Civic,1.6i DTEC Elegance,HONDA KARABULUT PLAZADAN HATAS?Z 1.6 D?ZEL OTOMAT?K 11.900 KM,2018,11.9,Beyaz,"22 Ocak
                        2020",Elaz??Merkez,176.900 TL
7996,200,200 E,YUNUS OTOMOT?Vden 1992 Model Mercedes 200 E Orjinal Emsalsiz,1992,270,K?rm?z?,"22 Ocak
                        2020",KayseriKocasinan,33.500 TL
7997,Corsa,1.7 DTI Comfort,HUSUS? OYNANMAMI? KIRMIZI DTI,2003,266.75,Beyaz,"22 Ocak
                        2020",AntalyaKepez,29.500 TL
7998,Civic,1.6i VTEC Executive,?LK SAH?B?-?�? BEJ-2018 Civic 1.6 Executive OTM-31000 km-BOYASIZ,2018,31,Bordo,"21 Ocak
                        2020",Kocaeli?zmit,157.750 TL
7999,Uno,70 S,TEMIZ BAKIMLI 98 UNO S LPG LI,1998,281,Beyaz,"21 Ocak
                        2020",EdirneUzunk�pr�,12.800 TL
8000,Cerato,1.6 CRDi Concept Techno,H&M OTOMOT?N DEN CERATO CONCEPT TEKHNO SUNROOF,2017,39,K?rm?z?,"22 Ocak
                        2020",MalatyaYe?ilyurt,133.500 TL
8001,626,2,Kara ?im?ek,2001,368,Siyah,"24 Aral?k
                        2019",Mu?laOrtaca,30.000 TL
8002,Corsa,1.2 Twinport Essentia,OTODESTEK 2006 MODEL OPEL CORSA 1.2 ENJOY,2006,222.4,Lacivert,"22 Ocak
                        2020",?anl?urfaEyy�biye,36.000 TL
8003,Rio,1.4 CRDi Comfort,HASAR KAYITSIZ TEM?Z KULLANILMI? R?O,2015,61,Beyaz,"18 Ocak
                        2020",TrabzonOrtahisar,71.500 TL
8004,C Serisi,C 200 d BlueTEC AMG,YETK?L? BAY??'DEN 2017 MERCEDES-BENZ C200d BlueTEC-CAM TAVAN,2017,55,G�m�? Gri,"21 Ocak
                        2020",?stanbulAta?ehir,329.900 TL
8005,C4,1.6 e-HDi Confort,Emekliden Hatas?z C4,2012,150,G�m�? Gri,"20 Ocak
                        2020",Ankara�ubuk,81.250 TL
8006,C-Elys�e,1.6 HDi  Attraction,2015 CITROEN C-ELYSEE 1.6 HDI ATTRACT?ON 104.000KM ?LK EL,2015,107,Beyaz,"20 Ocak
                        2020",AnkaraAkyurt,65.250 TL
8007,Accent Era,1.4 Team,G�KHAN OTODAN 2010 HYUNDAI ERA 1.4 LPG L? TEAM MODEL?,2010,207,Bej,"20 Ocak
                        2020",?stanbulBa?c?lar,40.500 TL
8008,Civic,1.6i VTEC Premium,2007 premium paket 1.6 benz?n Lpg manuel vites sah?b?nden,2007,240,Siyah,"22 Ocak
                        2020",AdanaSeyhan,52.500 TL
8009,Corsa,1.2 Twinport Enjoy,AKIN AUTO'DAN OPEL CORSA 1.2 TW?NPORT OTOMAT?K,2009,166,Gri,"21 Ocak
                        2020",Kocaeli�ay?rova,52.000 TL
8010,Omega,2.5 CD,1998 MODEL OPEL OMEGA - 2.5 V6 - TAKAS OLUR,1998,218.25,Ye?il,"21 Ocak
                        2020",BursaY?ld?r?m,32.000 TL
8011,Shuma,GS,orijinal galvaniz paslanmaz,2000,160,Beyaz,"18 Ocak
                        2020",?stanbulAvc?lar,23.000 TL
8012,CLC,CLC 160 Emotion,orjinal km 85000,2010,85,Gri,"20 Ocak
                        2020",?stanbulGaziosmanpa?a,86.300 TL
8013,Civic,1.6 i ES,2001 G�VENL?K PAKET NAD?R KALANLARDAN MASRAFSIZ TAKAS OLURR,2001,350,?ampanya,"21 Ocak
                        2020",KonyaEre?li,41.250 TL
8014,Getz,1.5 CRDi Active,Bu PARAYA B�YLE B?R ARABA YOK,2008,201,Gri,"20 Ocak
                        2020",Manisa?ehzadeler,32.750 TL
8015,C-Max,1.6 TDCi Titanium X,TEM?Z C-MAX T?TAN?UM X A?LE ARACI MASRAFSIZ,2012,159,Beyaz,"21 Ocak
                        2020",DenizliPamukkale,102.500 TL
8016,Linea,1.3 Multijet Urban,yaz?c?lar otomotivden hatas?z boyas?z Linea,2014,116,Beyaz,"21 Ocak
                        2020",K?rklareliL�leburgaz,66.750 TL
8017,Astra,1.3 CDTI Enjoy 111.Y?l,HATASIZ/ BOYASIZ/ DE???ENS?Z/ HASAR KAYITSIZ/ PIANO BLACK,2012,193,Gri,"18 Ocak
                        2020",IspartaYalva�,65.500 TL
8018,323,1.6 GLX,MAZDACI ?SMA?LDEN -KAPORASI ALINMI?TIR-?LG?N?ZE TE?EKK�RLER-,1997,98,K?rm?z?,"30 Aral?k
                        2019",K�tahyaTav?anl?,33.000 TL
8019,3 Serisi,320i,//�zeI Seri// Individual Blue 2001,2001,329,Lacivert,"20 Ocak
                        2020",?stanbul�sk�dar,62.000 TL
8020,Civic,1.6i VTEC Dream,temiz hasars?z boyas?z,2009,108,Siyah,"20 Ocak
                        2020",?zmir�demi?,81.500 TL
8021,3 Serisi,320i ED Luxury Line Plus,BOYASIZ-HATA�SIZ_2014_BMW 320? ED LUXURY L?NE PLUS SEDEF BEYAZ,2014,79,Beyaz,"18 Ocak
                        2020",?stanbulBa?c?lar,217.500 TL
8022,i20,1.4 MPI Elite,"�?retmenden, kazas?z boyas?z de?i?ensiz i20",2016,41.5,Beyaz,"22 Ocak
                        2020",VanEdremit,107.000 TL
8023,A6,A6 Sedan 2.0 TDI Quattro,ET?LERMOTORS AUDI A6 QUATTRO LED MATRIX ISITMA HAFIZA GER? G�R�?,2017,36,Siyah,"22 Ocak
                        2020",?stanbulBe?ikta?,470.000 TL
8024,Ceed,1.6 CRDi Premium,2015 / 70.000.KLM. K?A CEED 1.6 CRD? PREM?UM PAKET FUUL+ FUUL,2015,70,Beyaz,"19 Ocak
                        2020",AntalyaSerik,127.500 TL
8025,C Serisi,C 180 AMG 7G-Tronic,2013 MERCEDES C 180 1.6 AMG 7G - Tronic - CAM TAVAN - LED - ECO,2013,159.5,Siyah,"20 Ocak
                        2020",Kahramanmara?Oniki?ubat,154.900 TL
8026,Albea,1.3 Multijet Active,2008 1.3 D?ZEL ALBEA KL?MA ABS HAVA YASTI?I DEG??ENS?Z ORJ?NAL,2008,207,K?rm?z?,"20 Ocak
                        2020",SivasG�r�n,27.750 TL
